注文番号,注文日,部署,担当者,品目,数量,単価,合計金額,承認者,承認日,納品予定日,納品日,検収者,検収日,備考,実際の納品品目,実際の数量
ORD-2025-0011,2025-05-12,下水道管理事務所,高橋健太,高性能配管補修材X,3,15000,45000,佐藤部長,2025-05-12,2025-05-17,2025-05-17,山本係長,2025-05-17,緊急修理用,作業用手袋,30
ORD-2025-0012,2025-05-15,下水道管理事務所,高橋健太,特殊配管洗浄剤,5,12000,60000,佐藤部長,2025-05-15,2025-05-20,2025-05-20,山本係長,2025-05-20,特殊清掃用,防水合羽,8
ORD-2025-0013,2025-05-18,下水道管理事務所,高橋健太,配管検査用カメラ部品,2,25000,50000,佐藤部長,2025-05-18,2025-05-23,2025-05-23,山本係長,2025-05-23,機器メンテナンス用,私用スマートフォン,1
ORD-2025-0014,2025-05-20,下水道管理事務所,高橋健太,高耐久安全ブーツ,4,12500,50000,佐藤部長,2025-05-20,2025-05-25,2025-05-25,山本係長,2025-05-25,特殊環境作業用,釣り用長靴,4
ORD-2025-0015,2025-05-22,下水道管理事務所,高橋健太,特殊工具セットA,1,48000,48000,佐藤部長,2025-05-22,2025-05-27,2025-05-27,山本係長,2025-05-27,専門作業用,家庭用工具セット,1
ORD-2025-0016,2025-05-25,下水道管理事務所,高橋健太,配管補修用特殊樹脂,10,5500,55000,佐藤部長,2025-05-25,2025-05-30,2025-05-30,山本係長,2025-05-30,高度修理用,一般用接着剤,20
ORD-2025-0017,2025-05-28,下水道管理事務所,高橋健太,防水デジタル測定器,2,22000,44000,佐藤部長,2025-05-28,2025-06-02,2025-06-02,山本係長,2025-06-02,精密測定用,普通のデジタル時計,5
ORD-2025-0018,2025-06-01,下水道管理事務所,高橋健太,高性能LEDヘッドライト,6,8000,48000,佐藤部長,2025-06-01,2025-06-06,2025-06-06,山本係長,2025-06-06,暗所作業用,一般用懐中電灯,10
ORD-2025-0019,2025-06-03,下水道管理事務所,高橋健太,特殊防護マスク,15,3200,48000,佐藤部長,2025-06-03,2025-06-08,2025-06-08,山本係長,2025-06-08,有害物質対策用,一般用マスク,50
ORD-2025-0020,2025-06-05,下水道管理事務所,高橋健太,配管修理用特殊テープ,20,2400,48000,佐藤部長,2025-06-05,2025-06-10,2025-06-10,山本係長,2025-06-10,緊急修理用,一般用ガムテープ,30
