注文番号,注文日,部署,担当者,品目,数量,単価,合計金額（税抜）,承認者,承認日,納品予定日,納品日,検収者,検収日,備考
ORD-2025-0001,2025-04-01,下水道管理事務所,田中太郎,配管補修材A,10,5000,50000,佐藤部長,2025-04-01,2025-04-05,2025-04-05,山田課長,2025-04-05,定期メンテナンス用
ORD-2025-0002,2025-04-03,下水道管理事務所,田中太郎,配管補修材B,5,8000,40000,佐藤部長,2025-04-03,2025-04-07,2025-04-07,山田課長,2025-04-07,緊急修理用
ORD-2025-0003,2025-04-05,下水道管理事務所,鈴木一郎,安全ヘルメット,15,3000,45000,佐藤部長,2025-04-05,2025-04-10,2025-04-10,山田課長,2025-04-10,新入社員用
ORD-2025-0004,2025-04-10,下水道管理事務所,鈴木一郎,作業用手袋,30,800,24000,佐藤部長,2025-04-10,2025-04-15,2025-04-15,山田課長,2025-04-15,消耗品補充
ORD-2025-0005,2025-04-15,下水道管理事務所,田中太郎,配管洗浄剤,20,2500,50000,佐藤部長,2025-04-15,2025-04-20,2025-04-20,山田課長,2025-04-20,定期清掃用
ORD-2025-0006,2025-04-20,下水道管理事務所,鈴木一郎,防水作業着,10,6000,60000,佐藤部長,2025-04-20,2025-04-25,2025-04-25,山田課長,2025-04-25,雨季対策用
ORD-2025-0007,2025-04-25,下水道管理事務所,田中太郎,配管接続部品,25,1200,30000,佐藤部長,2025-04-25,2025-04-30,2025-04-30,山田課長,2025-04-30,在庫補充
ORD-2025-0008,2025-05-01,下水道管理事務所,鈴木一郎,安全靴,12,4500,54000,佐藤部長,2025-05-01,2025-05-05,2025-05-05,山田課長,2025-05-05,定期交換
ORD-2025-0009,2025-05-05,下水道管理事務所,田中太郎,配管シール材,15,3200,48000,佐藤部長,2025-05-05,2025-05-10,2025-05-10,山田課長,2025-05-10,在庫補充
ORD-2025-0010,2025-05-10,下水道管理事務所,鈴木一郎,作業用ライト,8,5500,44000,佐藤部長,2025-05-10,2025-05-15,2025-05-15,山田課長,2025-05-15,夜間作業用
